Season,Episode,Title,Airdate,Rating,Total Votes,Description,URL,Image
1,1,The Name of the Game,26 Jul. 2019,8.7,"15,063","When a Supe kills the love of his life, A/V salesman Hughie Campbell teams up with Billy Butcher, a vigilante hell-bent on punishing corrupt Supes -- and Hughie's life will never be the same again.",https://www.imdb.com/title/tt7775902/,"https://m.media-amazon.com/images/M/MV5BZDg2YjZmODItOGQ4OS00NzIxLWI5MGEtMGM0ZGNiMmEzMWFjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX224_CR0,0,224,126_AL_.jpg"
1,2,Cherry,26 Jul. 2019,8.5,"12,734","The Boys get themselves a Superhero, Starlight gets payback, Homelander gets naughty, and a Senator gets naughtier.",https://www.imdb.com/title/tt8100946/,"https://m.media-amazon.com/images/M/MV5BYzU1ZWNjZjktOGFlNy00ZmVkLWFkYjQtYjVhZWMxZDUxZmRkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX224_CR0,0,224,126_AL_.jpg"
1,3,Get Some,26 Jul. 2019,8.4,"11,945","It's the race of the century. A-Train versus Shockwave, vying for the title of World's Fastest Man. Meanwhile, the Boys are reunited and it feels so good.",https://www.imdb.com/title/tt8100948/,"https://m.media-amazon.com/images/M/MV5BNWZlNjAwYjYtYzk0Ny00ZjkzLTk0ZGItMzY1ZmJjMTlhYTM4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX224_CR0,0,224,126_AL_.jpg"
1,4,The Female of the Species,26 Jul. 2019,8.7,"12,130","On a very special episode of The Boys... an hour of guts, gutterballs, airplane hijackings, madness, ghosts, and one very intriguing Female. Oh, and lots of heart -- both in the sentimental sense, and in the gory literal sense.",https://www.imdb.com/title/tt8100950/,"https://m.media-amazon.com/images/M/MV5BOTJjODUwNWQtMDg0Mi00NGY5LWEyNzktNDFiYjNlNmE1MWZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX224_CR0,0,224,126_AL_.jpg"
1,5,Good for the Soul,26 Jul. 2019,8.4,"11,594","The Boys head to the ""Believe"" Expo to follow a promising lead in their ongoing war against the Supes. There might -- MIGHT -- be a homicidal infant, but you'll have to see for yourself.",https://www.imdb.com/title/tt8100952/,"https://m.media-amazon.com/images/M/MV5BMmM5N2IxMWEtYWRkNC00MzdmLTk4ZDgtYzZiOWZjMDRkZTJhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX224_CR0,0,224,126_AL_.jpg"
1,6,The Innocents,26 Jul. 2019,8.2,"10,922","SUPER IN AMERICA (2019). Vought Studios. Genre: Reality. Starring: Homelander, Queen Maeve, Black Noir, The Deep, A-Train, Starlight, Tara Reid, Billy Zane.",https://www.imdb.com/title/tt8100954/,"https://m.media-amazon.com/images/M/MV5BMjY5ZDUyNmMtNWRlMS00YjJlLWJiODEtNjE3NjM3YWFjZGZiXkEyXkFqcGdeQXVyNzgxMzc3OTc@._V1_UY126_CR36,0,224,126_AL_.jpg"
1,7,The Self-Preservation Society,26 Jul. 2019,8.7,"11,209","Never trust a washed-up Supe -- the Boys learn this lesson the hard way. Meanwhile, Homelander digs into his past, Starlight discovers that love hurts, and if you're ever in Sandusky, Ohio and a girl asks if she can touch your gills, say NO.",https://www.imdb.com/title/tt8100956/,"https://m.media-amazon.com/images/M/MV5BYzQzMmMwMGUtNjUzZi00MDc2LTk2OTItMDg1MTVjOWMzYTQxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UX224_CR0,0,224,126_AL_.jpg"
1,8,You Found Me,26 Jul. 2019,9.0,"13,350",Season Finale Time! Questions answered! Secrets revealed! Conflicts... conflicted! Characters exploded! And so much more!,https://www.imdb.com/title/tt8100958/,https://m.media-amazon.com/images/M/MV5BZDk5OWJlNDQtMDYzZi00MzlhLWFkYjAtMjU5OWZkNzliZTYyXkEyXkFqcGdeQXVyMjI4OTg3MTc@._V1_UY126_UX224_AL_.jpg
2,1,The Big Ride,4 Sep. 2020,8.1,"11,029","With Butcher still missing, Hughie, Mother's Milk, Frenchie, and Kimiko are now fugitives, and Homelander and Vought are more powerful than ever. But just as the Boys are about to leave the country, they are pulled back into the fray.",https://www.imdb.com/title/tt10666364/,"https://m.media-amazon.com/images/M/MV5BZDM5MGMxZTAtYjQ1Ni00M2JiLWJhOTUtMWNkYjFiYTA5OTliXkEyXkFqcGdeQXVyNTgyNDM1OTU@._V1_UX224_CR0,0,224,126_AL_.jpg"
2,2,Proper Preparation and Planning,4 Sep. 2020,7.7,"10,458","Butcher is back with the Boys, but tensions flare with Hughie. Homelander spends quality time with his new ""family."" Starlight and Stormfront bond at a press junket and the Boys hunt down a super terrorist with a startling identity.",https://www.imdb.com/title/tt11783338/,"https://m.media-amazon.com/images/M/MV5BNmNiMTQ1NWUtNjQ3Yi00ZDdiLWFkZjgtNjhlNWMwYTJkNDY3XkEyXkFqcGdeQXVyNTgyNDM1OTU@._V1_UX224_CR0,0,224,126_AL_.jpg"
2,3,Over the Hill with the Swords of a Thousand Men,4 Sep. 2020,9.0,"12,336","The Boys take to the high seas to safeguard their prisoner. Homelander plays house, then pushes Ryan over the edge. Starlight is forced to make an impossible choice. Stormfront reveals her true character.",https://www.imdb.com/title/tt11748808/,"https://m.media-amazon.com/images/M/MV5BMDU4YmE5NDItYTgwYS00NTBlLTg1MDQtMmYyMWFmN2YwNDQyXkEyXkFqcGdeQXVyMjA4MDAzNTg@._V1_UX224_CR0,0,224,126_AL_.jpg"
2,4,Nothing Like It in the World,11 Sep. 2020,8.0,"10,134","Milk, Hughie, and Annie go on a road trip to find Liberty. Frenchie has relationship problems, and Homelander continues to unravel.",https://www.imdb.com/title/tt11563692/,"https://m.media-amazon.com/images/M/MV5BZGU1ZWVmY2QtY2UzMS00MzUyLWFlYWMtZGEyNTQ3NGQxMjc0XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UX224_CR0,0,224,126_AL_.jpg"
2,5,We Gotta Go Now,18 Sep. 2020,8.3,"10,122",Butcher has no more intentions to fight with Supes but Black Noir traced his location and found him: what will he do now? Supes are shooting a film named - #Dawn Of The Seven. Homelander is doing what Stormfront told him to do.,https://www.imdb.com/title/tt11290880/,"https://m.media-amazon.com/images/M/MV5BYjA1YjJiYmYtZWQxNS00Yzg2LWI1ZDItNjgwYTVkMzIwMTE1XkEyXkFqcGdeQXVyOTQxNzU1MQ@@._V1_UY126_CR12,0,224,126_AL_.jpg"
2,6,The Bloody Doors Off,25 Sep. 2020,8.9,"11,386","When The Boys and Starlight follow a lead to Vought's mysterious Sage Grove Center, they find one of Vought's darkest secrets - and someone even darker from their past. Meanwhile Homelander and Stormfront's relationship deepens.",https://www.imdb.com/title/tt11997262/,"https://m.media-amazon.com/images/M/MV5BOWRjNjM5MDAtNTA0Yy00MjEyLWE3ZjYtZjNjNTg2OTA5MTFhXkEyXkFqcGdeQXVyNTgyNDM1OTU@._V1_UX224_CR0,0,224,126_AL_.jpg"
2,7,"Butcher, Baker, Candlestick Maker",2 Oct. 2020,9.0,"11,681","To help Victoria Neuman make a case against Vought, Mallory and The Boys look to an unlikely source for answers. Hughie gets terrifying news about Starlight. Meanwhile, Homelander and Stormfront further their master plan for Compound V.",https://www.imdb.com/title/tt11997264/,"https://m.media-amazon.com/images/M/MV5BMjE4ZTUyYjItMzhjYS00YjhlLWI5NDUtZTJlZjlkMDQzMDllXkEyXkFqcGdeQXVyNTQ0NjQzNTE@._V1_UX224_CR0,0,224,126_AL_.jpg"
2,8,What I Know,9 Oct. 2020,9.4,"16,281","Becca shows up on Butcher's doorstep and begs for his help. The Boys agree to back Butcher, and together with Starlight, they finally face off against Homelander and Stormfront. But things go very bad, very fast.",https://www.imdb.com/title/tt12187284/,"https://m.media-amazon.com/images/M/MV5BOGI0ODg3NTQtZGExMC00NzcyLWExZGUtODJmNDBmMDE5MGYyXkEyXkFqcGdeQXVyMDA5MDM3Mw@@._V1_UY126_CR39,0,224,126_AL_.jpg"
